Season,Episode,Topic,Label,Confidence,Topic Words
1,6,1,Child,0.080735385,"['hey', 'oh', 'thats', 'yes', 'could', 'yeah', 'okay', 'like', 'unfair', 'greeting']"
1,6,1,Gossip,0.061459411,"['hey', 'oh', 'thats', 'yes', 'could', 'yeah', 'okay', 'like', 'unfair', 'greeting']"
1,6,1,Museum,0.060398914,"['hey', 'oh', 'thats', 'yes', 'could', 'yeah', 'okay', 'like', 'unfair', 'greeting']"
1,6,1,Romance,0.059623849,"['hey', 'oh', 'thats', 'yes', 'could', 'yeah', 'okay', 'like', 'unfair', 'greeting']"
1,7,0,Child,0.37808305,"['oh', 'im', 'ross', 'cat', 'rachel', 'joey', 'phone', 'look', 'something', 'paolo']"
1,7,0,Roommates,0.11203748,"['oh', 'im', 'ross', 'cat', 'rachel', 'joey', 'phone', 'look', 'something', 'paolo']"
1,7,0,Romance,0.072213985,"['oh', 'im', 'ross', 'cat', 'rachel', 'joey', 'phone', 'look', 'something', 'paolo']"
1,7,0,Acting,0.053928986,"['oh', 'im', 'ross', 'cat', 'rachel', 'joey', 'phone', 'look', 'something', 'paolo']"
1,7,1,Acting,0.062162157,"['ok', 'oh', 'come', 'go', 'going', 'thats', 'man', 'cant', 'question', 'um']"
1,7,1,Sofa,0.056680374,"['ok', 'oh', 'come', 'go', 'going', 'thats', 'man', 'cant', 'question', 'um']"
1,7,1,Friendship,0.051485457,"['ok', 'oh', 'come', 'go', 'going', 'thats', 'man', 'cant', 'question', 'um']"
1,7,1,Fight,0.050871901,"['ok', 'oh', 'come', 'go', 'going', 'thats', 'man', 'cant', 'question', 'um']"
1,7,2,Romance,0.318069935,"['la', 'passion', 'know', 'people', 'life', 'kind', 'never', 'singing', 'big', 'suddenly']"
1,7,2,Child,0.053654175,"['la', 'passion', 'know', 'people', 'life', 'kind', 'never', 'singing', 'big', 'suddenly']"
1,7,2,Sofa,0.045241851,"['la', 'passion', 'know', 'people', 'life', 'kind', 'never', 'singing', 'big', 'suddenly']"
